trial_id,learning_rate,batch_size,num_train_epochs,max_len,weight_decay,warmup_ratio,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,precision_weighted,recall_weighted
1,1e-05,16,4,384,0.08585979199113825,0.0,0.581081081081081,0.4919158361018826,0.6127203615575709,0.5047281323877069,0.5064655172413793,0.6650693246437929,0.581081081081081
2,3e-05,8,3,384,0.0761139701990353,0.2,0.5135135135135135,0.445,0.5556756756756757,0.47470238095238093,0.46336206896551724,0.6377091377091377,0.5135135135135135
3,3e-05,16,4,256,0.04503859378955671,0.1,0.5675675675675675,0.4681042228212039,0.5986498628008061,0.48157051282051283,0.47521551724137934,0.6457467082467083,0.5675675675675675
4,2e-05,8,5,512,0.082276161327083,0.1,0.6756756756756757,0.4714285714285714,0.657915057915058,0.4704301075268817,0.47629310344827586,0.6428363847718686,0.6756756756756757
5,3e-05,8,4,256,0.055458478701583484,0.2,0.6081081081081081,0.4345191040843215,0.6123419862550297,0.4360165118679051,0.4331896551724138,0.6167126879201182,0.6081081081081081
6,1e-05,16,5,256,0.07580877400853739,0.1,0.4189189189189189,0.3779081133919843,0.4685635782409976,0.4340659340659341,0.40301724137931033,0.5931095931095931,0.4189189189189189
7,3e-05,8,3,512,0.08931211213221978,0.2,0.5540540540540541,0.4255469301340861,0.5797554788380477,0.437766410912191,0.4213362068965517,0.6121978756249856,0.5540540540540541
8,5e-05,16,3,384,0.004380376578722878,0.1,0.44594594594594594,0.4150761519182572,0.4913427018690177,0.47634885439763486,0.46551724137931033,0.6359641237690018,0.44594594594594594
9,3e-05,8,5,512,0.07447621559078171,0.1,0.7297297297297297,0.4660894660894661,0.6790296790296789,0.4730392156862745,0.48814655172413796,0.6469263381028086,0.7297297297297297
10,5e-05,8,3,512,0.046955581127580796,0.1,0.6891891891891891,0.5515151515151515,0.6925470925470927,0.5505675954592363,0.552801724137931,0.6961202688756867,0.6891891891891891
