trial_id,learning_rate,batch_size,num_train_epochs,max_len,weight_decay,warmup_ratio,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,precision_weighted,recall_weighted
1,1e-05,16,4,384,0.08585979199113825,0.0,0.4713375796178344,0.3105149552883133,0.44513808280843986,0.32313703068420047,0.3214138073584126,0.44860575469877234,0.4713375796178344
2,3e-05,8,3,384,0.0761139701990353,0.2,0.49044585987261147,0.3279010912842336,0.4593311840098713,0.31444811147781443,0.34628634421937443,0.43573115273310775,0.49044585987261147
3,3e-05,16,4,256,0.04503859378955671,0.1,0.5222929936305732,0.43358573297223607,0.5293103818522912,0.43391896169673955,0.44002342565798536,0.5394036450299721,0.5222929936305732
4,2e-05,8,5,512,0.082276161327083,0.1,0.5605095541401274,0.40648425159594986,0.5364307759328498,0.41660300483829893,0.41252411464792615,0.523772218789079,0.5605095541401274
5,3e-05,8,4,256,0.055458478701583484,0.2,0.4840764331210191,0.39877899877899875,0.4849536875014582,0.3997168082625355,0.40770979743695746,0.49254990339225296,0.4840764331210191
6,1e-05,16,5,256,0.07580877400853739,0.1,0.5477707006369427,0.40763511532025737,0.5406820887025824,0.40770465489566615,0.40914806393826647,0.5355481489811984,0.5477707006369427
7,3e-05,8,3,512,0.08931211213221978,0.2,0.4840764331210191,0.31843611761644547,0.45186259739355705,0.30462668908400276,0.33746727297781454,0.427559520763998,0.4840764331210191
8,5e-05,16,3,384,0.004380376578722878,0.1,0.46496815286624205,0.4016884983142652,0.46887049606755754,0.39747546691991137,0.41386764503238255,0.4760541612983226,0.46496815286624205
9,3e-05,8,5,512,0.07447621559078171,0.1,0.5668789808917197,0.3885296034491403,0.5388904801545752,0.3812541254125413,0.4029902163428414,0.521200731538122,0.5668789808917197
10,5e-05,8,3,512,0.046955581127580796,0.1,0.4968152866242038,0.3304054054054054,0.462768979170253,0.31654149111558894,0.35035138486978085,0.4379363010653826,0.4968152866242038
