trial_id,learning_rate,batch_size,num_train_epochs,max_len,weight_decay,warmup_ratio,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,precision_weighted,recall_weighted
1,1e-05,16,4,384,0.08585979199113825,0.0,0.4166666666666667,0.3833826566067003,0.4366139052982264,0.39477838494231937,0.4320156994673395,0.48578300873382846,0.4166666666666667
2,3e-05,8,3,384,0.0761139701990353,0.2,0.46794871794871795,0.3463170563686027,0.4583136541403789,0.35077128647896455,0.35383375385477994,0.46112321425421837,0.46794871794871795
3,3e-05,16,4,256,0.04503859378955671,0.1,0.5384615384615384,0.41418753068237607,0.5235168611457272,0.4207634470792366,0.4220458368376787,0.5257040530319882,0.5384615384615384
4,2e-05,8,5,512,0.082276161327083,0.1,0.5192307692307693,0.38755650426921145,0.5023181238650852,0.3933953354685062,0.39308242220353234,0.4999273535858902,0.5192307692307693
5,3e-05,8,4,256,0.055458478701583484,0.2,0.5833333333333334,0.43708863502677936,0.5630590146054064,0.4524817146176369,0.4404611718530978,0.5663042873647803,0.5833333333333334
6,1e-05,16,5,256,0.07580877400853739,0.1,0.5448717948717948,0.4394088669950739,0.5423645320197045,0.44794685990338173,0.44792542753013737,0.5550956893348198,0.5448717948717948
7,3e-05,8,3,512,0.08931211213221978,0.2,0.5192307692307693,0.3990717764911313,0.5079719058627248,0.412866015971606,0.4081686291000841,0.5211487270493481,0.5192307692307693
8,5e-05,16,3,384,0.004380376578722878,0.1,0.4551282051282051,0.360082304526749,0.4639759417537195,0.3646367521367521,0.3591603588449677,0.47465894148586457,0.4551282051282051
9,3e-05,8,5,512,0.07447621559078171,0.1,0.5128205128205128,0.3434495623475391,0.48675728776891064,0.3421492628058975,0.3554807961872722,0.4751423527073321,0.5128205128205128
10,5e-05,8,3,512,0.046955581127580796,0.1,0.5384615384615384,0.39530718383316393,0.5131319687619902,0.40820105820105823,0.4035954583683768,0.5146418396418397,0.5384615384615384
