trial_id,learning_rate,batch_size,num_train_epochs,max_len,weight_decay,warmup_ratio,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,precision_weighted,recall_weighted
1,1e-05,16,4,384,0.08585979199113825,0.0,0.532051282051282,0.3958355544894006,0.5284598435486009,0.39645684233355016,0.3962188113260443,0.5261706954940527,0.532051282051282
2,3e-05,8,3,384,0.0761139701990353,0.2,0.5256410256410257,0.34766194766194763,0.49255849255849254,0.33863526819527645,0.36529296327446037,0.47180864305425335,0.5256410256410257
3,3e-05,16,4,256,0.04503859378955671,0.1,0.44871794871794873,0.34687990399704605,0.4616350325572148,0.3542397660818714,0.3416911970843846,0.4762033288349078,0.44871794871794873
4,2e-05,8,5,512,0.082276161327083,0.1,0.532051282051282,0.34964272077674136,0.4974342190837036,0.3509066219346593,0.36599383235211663,0.4862916059896649,0.532051282051282
5,3e-05,8,4,256,0.055458478701583484,0.2,0.5576923076923077,0.3981087470449172,0.5341152936897617,0.4165418788060297,0.4040685449957948,0.5411646355042581,0.5576923076923077
6,1e-05,16,5,256,0.07580877400853739,0.1,0.5064102564102564,0.4004355282649433,0.520266910240414,0.4063066640195883,0.3984090271937202,0.5372583904745907,0.5064102564102564
7,3e-05,8,3,512,0.08931211213221978,0.2,0.4935897435897436,0.3410503526782596,0.4823701160910463,0.33689727463312363,0.3466498458088029,0.4732059345266892,0.4935897435897436
8,5e-05,16,3,384,0.004380376578722878,0.1,0.44871794871794873,0.31915024026674516,0.4358120978266609,0.31834700783386644,0.32487033922063363,0.42925861743133326,0.44871794871794873
9,3e-05,8,5,512,0.07447621559078171,0.1,0.5448717948717948,0.38215659865144397,0.5129896390800435,0.3927869638150012,0.39257429212223155,0.5060812180869693,0.5448717948717948
10,5e-05,8,3,512,0.046955581127580796,0.1,0.4935897435897436,0.3405335904853745,0.4739435749078951,0.32717803030303033,0.3550602747406784,0.45583843240093247,0.4935897435897436
