trial_id,learning_rate,batch_size,num_train_epochs,max_len,weight_decay,warmup_ratio,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,precision_weighted,recall_weighted
1,1e-05,16,4,384,0.08585979199113825,0.0,0.4840764331210191,0.4143824609733701,0.4868404660384973,0.4136946755542581,0.4156331817555463,0.4902247444156338,0.4840764331210191
2,3e-05,8,3,384,0.0761139701990353,0.2,0.535031847133758,0.41033434650455924,0.5070631586419634,0.47322942302433696,0.4066935372743558,0.5096461023183878,0.535031847133758
3,3e-05,16,4,256,0.04503859378955671,0.1,0.5222929936305732,0.4312881052507136,0.5171789283859827,0.4311413454270598,0.43526939506683204,0.5163539725869116,0.5222929936305732
4,2e-05,8,5,512,0.082276161327083,0.1,0.5222929936305732,0.4391264054956094,0.5179551211441811,0.4623366013071895,0.43117851729364753,0.5196671662295491,0.5222929936305732
5,3e-05,8,4,256,0.055458478701583484,0.2,0.5095541401273885,0.39456261105073404,0.5025450347775382,0.39558686562431883,0.39518740526388313,0.4973853580809854,0.5095541401273885
6,1e-05,16,5,256,0.07580877400853739,0.1,0.5031847133757962,0.3588478869808793,0.4805391555680705,0.363391092871257,0.3664306876119609,0.47303376986996837,0.5031847133757962
7,3e-05,8,3,512,0.08931211213221978,0.2,0.535031847133758,0.3947663261678637,0.5116948279438346,0.45617816091954017,0.3978486289100179,0.511503404348781,0.535031847133758
8,5e-05,16,3,384,0.004380376578722878,0.1,0.445859872611465,0.36367593922772185,0.443479136113743,0.37544119461927683,0.36246038307840706,0.4487632558830535,0.445859872611465
9,3e-05,8,5,512,0.07447621559078171,0.1,0.4394904458598726,0.31238717709305946,0.42878136392561267,0.3071349910160552,0.32644343392586467,0.42879388464149687,0.4394904458598726
10,5e-05,8,3,512,0.046955581127580796,0.1,0.445859872611465,0.351558089524967,0.4314768869989797,0.3797676008202324,0.3466136144412291,0.4269962689003922,0.445859872611465
