trial_id,learning_rate,batch_size,num_train_epochs,max_len,weight_decay,warmup_ratio,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,precision_weighted,recall_weighted
1,1e-05,16,4,384,0.08585979199113825,0.0,0.68,0.5233050847457628,0.68,0.5233050847457628,0.5233050847457628,0.68,0.68
2,3e-05,8,3,384,0.0761139701990353,0.2,0.68,0.5233050847457628,0.68,0.5233050847457628,0.5233050847457628,0.68,0.68
3,3e-05,16,4,256,0.04503859378955671,0.1,0.5733333333333334,0.4545454545454546,0.6004848484848485,0.4656862745098039,0.4555084745762712,0.637124183006536,0.5733333333333334
4,2e-05,8,5,512,0.082276161327083,0.1,0.64,0.4755244755244755,0.6439160839160839,0.4761663286004057,0.4751059322033898,0.6479918864097363,0.64
5,3e-05,8,4,256,0.055458478701583484,0.2,0.5733333333333334,0.4983277591973244,0.6095429208472687,0.5166666666666667,0.5238347457627119,0.6791111111111111,0.5733333333333334
6,1e-05,16,5,256,0.07580877400853739,0.1,0.7733333333333333,0.5293466223698782,0.7236323366555925,0.6000000000000001,0.5370762711864407,0.7146666666666667,0.7733333333333333
7,3e-05,8,3,512,0.08931211213221978,0.2,0.68,0.40476190476190477,0.6368253968253967,0.3805970149253731,0.4322033898305085,0.5988059701492537,0.68
8,5e-05,16,3,384,0.004380376578722878,0.1,0.7066666666666667,0.4882133995037221,0.6799172870140613,0.49230769230769234,0.4947033898305085,0.659897435897436,0.7066666666666667
9,3e-05,8,5,512,0.07447621559078171,0.1,0.6533333333333333,0.505578093306288,0.6605409060175794,0.5058479532163742,0.5063559322033898,0.6684600389863549,0.6533333333333333
10,5e-05,8,3,512,0.046955581127580796,0.1,0.6266666666666667,0.46754563894523327,0.6344286680189316,0.46929824561403505,0.4666313559322034,0.6428070175438595,0.6266666666666667
