trial_id,learning_rate,batch_size,num_train_epochs,max_len,weight_decay,warmup_ratio,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,precision_weighted,recall_weighted
1,1e-05,4,4,256,0.04292989599556912,0.0,0.6282051282051282,0.6175824175824176,0.6208509439278671,0.6314285714285715,0.6212920237310482,0.6308424908424909,0.6282051282051282
2,2e-05,2,3,384,0.03805698509951765,0.1,0.6153846153846154,0.6101949025487257,0.6125014415868989,0.6144701086956521,0.6110744891232696,0.6147313963210702,0.6153846153846153
3,2e-05,4,4,256,0.022519296894778357,0.1,0.6474358974358975,0.6441458255567998,0.6459005305589852,0.6467382190172732,0.6441990771259063,0.6469919202604093,0.6474358974358975
4,1.5e-05,2,4,384,0.0411380806635415,0.1,0.6474358974358975,0.6348159182804852,0.6382972918405989,0.6551566220919582,0.6395847066578775,0.6539213061469885,0.6474358974358975
5,1.5e-05,2,3,256,0.027729239350791742,0.1,0.6410256410256411,0.6400791034937376,0.6391325659618342,0.6484848484848484,0.6453526697429137,0.6509712509712511,0.6410256410256411
6,1e-05,4,4,256,0.037904387004268694,0.1,0.6666666666666666,0.6520247083047358,0.6556851978952185,0.6807547169811321,0.6578773895847067,0.6787421383647799,0.6666666666666666
7,2e-05,2,3,384,0.04465605606610989,0.1,0.5769230769230769,0.5766447368421053,0.5760880566801619,0.5803986710963456,0.5797626895187871,0.5821364681829798,0.5769230769230769
8,2e-05,4,3,256,0.002190188289361439,0.0,0.6282051282051282,0.6259920634920635,0.6274674399674399,0.6269102990033223,0.6259063941990771,0.6275577136042253,0.6282051282051282
9,1.5e-05,2,4,384,0.03723810779539086,0.0,0.6474358974358975,0.6409290646578782,0.6434078580971236,0.6489214840379638,0.6422214897824654,0.6485719342492422,0.6474358974358975
10,2e-05,2,3,384,0.023477790563790398,0.0,0.6025641025641025,0.5959224598930482,0.5932658028246264,0.622004357298475,0.6107448912326962,0.6252443997542037,0.6025641025641025
