Record-ID,Transcript_CTD,Transcript_PFT,Transcript_SFT
Process-rec-120,"What I'm looking as a accident to happen or some risked on a stool, firstly reaching out the stool falling over while a person is getting a biscuit out of the cookie jar to pass to the girl from the boy. and presuming a mother or a woman doing the pots in front of a window. A window that's got curtains, clear window and a fret window. She's washing, drying some pots. The water is running over, so that's an added hazard regarding slipping. falling etc. There is cups on the side and as I said there's cookie jar, the bowl got shoes on. ","pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat pat Puts, pulp, public, pram, people, poppular, pupil, pupae, pups, pride, ","cat, dog, rabbit, hamster, kangaroo, elephant, giraffe, birds, bears, different types of bears, worms, jibbles, mice, Oh dear. Monques, apes, emules, pigeons, doves, squirrels, "
Process-rec-100,"At the kitchen, a little boy has climbed onto the chair, which is now toppling over so that he can get to the cookie jar. He is managing to get some before he falls and hand them down to the little girl who has beneath him. The lady is washing up at the kitchen window, which is open. and her water is flowing out of the kitchen basin onto the floor. She is drying up a plate. There is a plate and two cups beside her. The curtains are open. There are covered beneath the sink and the boys covered is obviously up in the air. He had just wearing socks, his sisters wearing shoes. The mother is wearing shoes and an apron. Gosh. I can't see hang up. What else? Texas turned on full, which is why it's overflowing. There's a boy in shorts and a shirt, a skirt, her big girl is in a skirt and then T-shirt. My mother's got a dress on under her apron. You can see the ears of the rest of the house through the open window. There are trees and plants in the garden. I can't really see anything else. ","plane, pay to coat, pineapple, pulmon granite, Please. Perhaps. Prompt. Prince. ","elephant giraffe hyena lion leopard cheetah cat dog hamster guinea pig guinea fowl deer buck sorry bush pig, crocodile, hippo, rhino, snakes, different types of buck, reed buck. "
Process-rec-037,"Okay so there's a lady washing up at the sink and the sink is all flowing with water the water is going on to the floor she's standing in the puddle that's on the floor there's a young boy standing on a three-legged chair trying to pinch the cookies from the cookie jar but it looks as if it's going to fall over so you get injured the lid is off the cookie jar with the cookie jars the cookies are coming out It looks there's a little girl there which is waiting for one of the cookies to be passed to her. She stood in the floor. The cupboard door is open. There is a window which has got curtains and outside the curtains you can see the side of a house and a path leading towards the house in which the image is shown. There are kitchen units. There are one, two, three, four, five, six, seven, eight drawers visible on the On the units, some are handled, some don't have handles. The chalk window has a square frame within it. There are also some plates and cups and crockery on the side of the units. The lady seems to be wearing a penny. She's dry in the dishes with the tea towel. ","pen pencil plaid placement peper piccolo papar primrose pedigree puppy pet participate, play, promise, push, pull, plywood, pincer, pliers, pivot, practical, ","And the boon, chicken, elephant, dog, cat, guinea pig, hamster, rabbit, giraffe, tiger, lion, cheetah, wheel, fish, shark, Eagle, Osprey, Hawk, Buzzard, Trush, Stalin, Sparrow, Slowworm, Lizard, Snake, Cobbrop, "
Process-rec-125,"There is a woman washing up. The sink is overflowing. You can see the garden through the window. There's pots on the side. There are two children. The boy's climbing on a stool, which is falling, is trying to get the cookies out of the jar in the cupboard. The woman is wearing an apron. Her feet are getting wet. The curtains are open, the window is open. In the garden you can see another window in the distance and flower beds, a path and the grass. ","paint purple pretty powerful pain philosophy physio pepper pink Prongs, poke, point, pupil, panic, pebble, prints, ","dog, cat, mouse, snake, sheep, cow, horse, camel, pig, eagles, dolphins, whales, ducks, penguins, seals, chipmunks, monkeys, lions, tigers, rhinos, giraffes, bears, elephant, "
Process-rec-119,"It looks like a slightly chaotic scene in a kitchen. There are two young children boy and a girl. The boy is stood on the stool, which is about to fall over. He's taking cookies from the cookie jar in the cupboard. His mother is apparently ignoring him whilst she daydreams looking out of the window at a slightly, looks like a slightly rural scene. and she's always seen a bit of a daydream because the sink is overflowing and water is falling onto the floor. ","Park, portal, porch, principal, perpendicular, parameter, parabola, parenthesis, paragraph, psychology, pseudonym, of them. Brain freeze, principality, prints, princess, porcupine, pug, poodle, perch, ","Aunt Antelope, Ard Rock, Bat, Badger, Bull, Cat, Crocodile, Dear, Dolphin, Elephant, Fox, Ferret, Giraffe, Goat, Hyena, Iguana, Lima, Leopard, Monkey, Mouse, Owl, Osalot, Pokébine, Rabbit, "
Process-rec-020,"a woman is doing the washing up, she's not paying attention and so the sink is overflowing, she shouldn't really have left it running like that. Outside the window, there is a garden with a path, a lawn tree, the side of the house, all else possibly a neighbor's house, it's got some bushes, The curtains at the window are held back by ties. There's a ruffle top. The window is open at the bottom on the draining board or the countertop. There are two cups on a plate. The plate is tilted up. Under the countertop there are three, four, five cupboard doors. She's standing in the puddle. She is wearing flat shoes. dress, an apron, she has bobbed hair, she's looking slightly frowny, she's holding a plate in her left hand, drawing it with her right hand. Behind her there are two children, one of them is on a stool, a boy, he's got, this is right on the old picture, he's got a boof on hair, the stool, the tall stool is toppling down, So it looks like she's distracted because the children appear to be stealing cookies from the jar, the lid is off, there are five of the boys grabbed, one which is passing to the little girl, I see a Mrs sister, he's got the other one in his hand, he doesn't seem to lose a bit bothered that the stills toppling over, his socks are coming down, he's wearing short trousers and a polo shirt, girl is reaching up with her left hand stretched out, She's wearing a short skirt, a T-shirt, melee chain shoes and ankle socks. ","pack, post, pimple, pretty, petunias, parsnip, pussycat, purple, parsed, present, pachyderm, paddle, piffle, potter, poodle, prompt, pedal, prime, puddle, pat, pay, payment, pat, pot, pit, pet, pad, pod, pass, post, oh no I had post, and pose, prize, play. ","dark antelope, beaver, cow, dog, elephant, frog, horse, giraffe, ibex, jaguar, tiger, lion, lynx, pig, horse, hen, sheep, birds of always kind, sparrow, robin, heron, eaglet, owls, insects, beetles, bugs, cockroaches, ladybirds, ant spiders, deer, foxes, stoats, weasels, badgers, Marmosets, monkeys, and cappuccine monkeys, howler monkeys, chimpanzees, gorillas, orangutans, "
Process-rec-149,"I'm pressing now to start. picture I can see a girl asking a boy to collect something out of a cupboard he reaches up standing on a stool and falls back when he was getting something out of a jar the mother was stood at the sink washing the pots the sink was overflowing because she was looking out of the window possibly down the drive there was a plate and cuffery on the on the side of the sink. The net curtains were open, outside, oh sorry, it wasn't cooked or it, I've just put my glasses on, it was a cooking saucer and her shoes were getting wet through with the sink overflowing and outside in the window there was a person, I believe, coming up the drive in the far distance and there was another window and hedge to the left of the picture. ","Words beginning with P, polite, Parliament, Parliament, Prudermid, Pyrasatic, or meaning fire. A person, a person, a poet, a pilot. I can mention food like pomegranates. Pardon is a word. ","dog, cat, pigeon, hen, guinea pig, otter, owl, kingfisher, zebra, lion, cheetah, orangutan, monkey ape, goldfish, jellyfish, horse, sheep, cow, lamb, I mentioned not ferret, rabbit, rodent, rat or a mouse, hedgehog, kangaroo, kiwi, not kiwi, kangaroo, koala bear, polar bear, "
Process-rec-092,"A lady is washing dishes. She's letting the sink overflow because she's left the tap on. A child is climbing up on a stool to get to a cookie jar. He's open to cupboard. A daughter is standing at the bottom of this stool and with her arms out reach to catch them or maybe to catch the cookie. Outside the window or at the window there are curtains and there's looks like a driveway and possibly a gate grass. The curtains are pulled back at the end so that there's on an angle. The cookie jar looks to be quite full of cookies. There's something else beside the cookie jar, but I don't know what that is. It's kind of a whether it's a chopping board or something like that. I don't know. ","parcel, paper, perhaps, possibly, program, portfolio. I'm going to do this, finish the question. I don't know. ","cat, dog, fish, rabbit, sheep, cow, monkey, elephant, giraffe, tiger, polar bear, elephant, Fish, I've said. That's it. Tiger, tiger, elephant. Rhino. Velociris. "
Process-rec-093,"There is a lady doing the washing up but she's left the sink over spilling and it's going on to the floor. There's a boy on a stall. He's reaching up to get a cookie jar and a little girl is reaching up too. It looks like he's passing the cookies on the cookie jar. from the cookie jar. The lady is stepping into the water that's flashing out of the sink and she is wiping a plate. The window is open, it looks like it's the dense wind blowing. The lid is off the jar of the cookie jar. ","Pull, pepper, pipe, poo, perfect, popping, penultimate, um um peripheral um pilot um um um um um um um um um um um um um um um um um um and pill, and pill, and ","cat dog, chicken, bird, gerbil, horse, donkey, pig, cow, goat, sheep, lamb, giraffe buffalo rabbit cow giraffe hyena penguin, koala, kangaroo, rhinoceros, "
Process-rec-067,"I can see a boy on a stool. He's trying to reach for a cookie dryer. His sister is waiting for her brother to hand the cookie. The mother is drying some dishes. However, the sink is overflowing with water. She doesn't seem to see it. There's a garden that she's What a window that she's looking at. She's dressed in a knee-high dress. The boy is in shorts and t-shirt. The girl looks like she's wearing skirt with a t-shirt. She has her finger placed on her mouth. The boy has a cookie in his hand as well as reaching for a cookie, the cookie jar itself. ","pen, paper, plastic, paint, problems, Peru, bouquet, pot, pan plate, plant, ","elephant tiger lion cat dog birds fish shark polar bear dog alligator elephant giraffe, koala, kangaroo. I can't think anything of fish, turtle, "
