transcript,C,class_weight,mean_accuracy,mean_macro_f1
Transcript_PFT,0.01,,0.5534274193548387,0.320698148244399
Transcript_PFT,0.01,balanced,0.4508064516129033,0.37837104227503143
Transcript_PFT,0.1,,0.5667338709677419,0.37629683182314755
Transcript_PFT,0.1,balanced,0.4766129032258065,0.38978354978354984
Transcript_PFT,1.0,,0.5727822580645161,0.39204539251598075
Transcript_PFT,1.0,balanced,0.4639112903225807,0.38815517090026896
Transcript_PFT,10.0,,0.5792338709677419,0.4053508720755322
Transcript_PFT,10.0,balanced,0.4641129032258065,0.38505837019735617
Transcript_CTD,0.01,,0.6336693548387096,0.40465297230003117
Transcript_CTD,0.01,balanced,0.4294354838709678,0.32043477870303
Transcript_CTD,0.1,,0.646774193548387,0.4304879940040859
Transcript_CTD,0.1,balanced,0.4294354838709678,0.3306990251827832
Transcript_CTD,1.0,,0.5895161290322581,0.39983664983664985
Transcript_CTD,1.0,balanced,0.4229838709677419,0.3470826225570059
Transcript_CTD,10.0,,0.5641129032258065,0.41907187969107473
Transcript_CTD,10.0,balanced,0.455241935483871,0.38758478478687725
Transcript_SFT,0.01,,0.5920430107526882,0.3585916116403921
Transcript_SFT,0.01,balanced,0.4737634408602151,0.39293829709689093
Transcript_SFT,0.1,,0.5531182795698925,0.36792825142979935
Transcript_SFT,0.1,balanced,0.48043010752688176,0.4078542636621531
Transcript_SFT,1.0,,0.5331182795698924,0.36045711796197033
Transcript_SFT,1.0,balanced,0.43354838709677423,0.38658983893254917
Transcript_SFT,10.0,,0.5260215053763441,0.39842999002691404
Transcript_SFT,10.0,balanced,0.4666666666666666,0.40681567220022063
