trial_id,learning_rate,batch_size,num_train_epochs,max_len,weight_decay,warmup_ratio,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,precision_weighted,recall_weighted
1,1e-05,16,4,384,0.08585979199113825,0.0,0.6305732484076433,0.620962370962371,0.6236534166470472,0.6345614035087719,0.6247154471544716,0.6339121689574254,0.6305732484076433
2,3e-05,8,3,384,0.0761139701990353,0.2,0.5732484076433121,0.5647010138630251,0.5674206391567527,0.5719931271477663,0.568130081300813,0.5722306126469237,0.5732484076433121
3,3e-05,16,4,256,0.04503859378955671,0.1,0.6496815286624203,0.6460050014348379,0.6476134820969052,0.6499333999333999,0.6464227642276423,0.6498628759775257,0.6496815286624203
4,2e-05,8,5,512,0.082276161327083,0.1,0.6369426751592356,0.6368837492391966,0.6370899899593333,0.6374188311688311,0.6376422764227643,0.6385298618578874,0.6369426751592356
5,3e-05,8,4,256,0.055458478701583484,0.2,0.6050955414012739,0.6023692810457516,0.6038372673910328,0.6039196310935442,0.6026016260162601,0.6043528612069182,0.6050955414012739
6,1e-05,16,5,256,0.07580877400853739,0.1,0.6114649681528662,0.610453528574334,0.6113385382055497,0.61055030934549,0.6104065040650406,0.611261710640116,0.6114649681528662
7,3e-05,8,3,512,0.08931211213221978,0.2,0.6114649681528662,0.5923466564508577,0.5962827794483301,0.6210818042813455,0.6030081300813008,0.6199782329223397,0.6114649681528662
8,5e-05,16,3,384,0.004380376578722878,0.1,0.5732484076433121,0.5726242229716003,0.57189600752127,0.5770750988142292,0.5760975609756098,0.5784849324035145,0.5732484076433121
9,3e-05,8,5,512,0.07447621559078171,0.1,0.6369426751592356,0.6354637663448612,0.6364990025149233,0.6360294117647058,0.6353658536585366,0.6365211689771451,0.6369426751592356
10,5e-05,8,3,512,0.046955581127580796,0.1,0.6178343949044586,0.5898641588296761,0.5946395649887853,0.6388772077375946,0.6073983739837399,0.6369132118731686,0.6178343949044586
