trial_id,learning_rate,batch_size,num_train_epochs,max_len,weight_decay,warmup_ratio,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,precision_weighted,recall_weighted
1,1e-05,16,4,384,0.08585979199113825,0.0,0.3503184713375796,0.3022730956745096,0.39712552605012863,0.34997029114676176,0.28880735841256716,0.47860394881751195,0.3503184713375796
2,3e-05,8,3,384,0.0761139701990353,0.2,0.4840764331210191,0.39104672688314146,0.5087488979932032,0.4064532532828096,0.3852659501171283,0.5403484009511903,0.4840764331210191
3,3e-05,16,4,256,0.04503859378955671,0.1,0.554140127388535,0.4179223850291876,0.5213817540828999,0.442913881623559,0.429318244453631,0.5343047588373251,0.554140127388535
4,2e-05,8,5,512,0.082276161327083,0.1,0.5222929936305732,0.4037888463175819,0.5123158519820061,0.40859213065008454,0.4033174865646962,0.5046685502263364,0.5222929936305732
5,3e-05,8,4,256,0.055458478701583484,0.2,0.5477707006369427,0.4307076365899895,0.5255942176137005,0.45,0.43159191125809565,0.5267515923566878,0.5477707006369427
6,1e-05,16,5,256,0.07580877400853739,0.1,0.49044585987261147,0.36535332745271004,0.4810799371484969,0.3786750668193966,0.3718995452666391,0.4931964599703781,0.49044585987261147
7,3e-05,8,3,512,0.08931211213221978,0.2,0.45222929936305734,0.31904282239638354,0.43216708388292324,0.32,0.3275716549538377,0.4245435244161359,0.45222929936305734
8,5e-05,16,3,384,0.004380376578722878,0.1,0.4968152866242038,0.4007770007770007,0.5020325746440396,0.40264039962064796,0.403825616645997,0.509989131432469,0.4968152866242038
9,3e-05,8,5,512,0.07447621559078171,0.1,0.4713375796178344,0.3224374495560936,0.4529001711879829,0.3152598477325389,0.3325065454044371,0.4386922118419471,0.4713375796178344
10,5e-05,8,3,512,0.046955581127580796,0.1,0.5159235668789809,0.37189327485380125,0.4896287294669796,0.4139393939393939,0.38499035414082955,0.52833815865663,0.5159235668789809
