trial_id,learning_rate,batch_size,num_train_epochs,max_len,weight_decay,warmup_ratio,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,precision_weighted,recall_weighted
1,1e-05,16,4,384,0.08585979199113825,0.0,0.5576923076923077,0.3211664152840623,0.4654290907684573,0.38073070955000704,0.3704793944491169,0.5098853044261423,0.5576923076923077
2,3e-05,8,3,384,0.0761139701990353,0.2,0.5256410256410257,0.3405448717948718,0.4808000493096647,0.3285902503293808,0.36529296327446037,0.45461639809465904,0.5256410256410257
3,3e-05,16,4,256,0.04503859378955671,0.1,0.5128205128205128,0.3171071914119745,0.45373437587008225,0.3151515151515151,0.3487524530417718,0.43543123543123546,0.5128205128205128
4,2e-05,8,5,512,0.082276161327083,0.1,0.5769230769230769,0.36160107350318693,0.5139722470089544,0.36300669027941757,0.39444911690496215,0.4977083522538068,0.5769230769230769
5,3e-05,8,4,256,0.055458478701583484,0.2,0.5897435897435898,0.375937991065911,0.5299634242904543,0.38205430932703655,0.40594336977852535,0.518953773499228,0.5897435897435898
6,1e-05,16,5,256,0.07580877400853739,0.1,0.532051282051282,0.2516451575398209,0.38673678373713255,0.3986928104575163,0.34076254555649005,0.5261437908496732,0.532051282051282
7,3e-05,8,3,512,0.08931211213221978,0.2,0.5512820512820513,0.3574291127991012,0.5038921371734894,0.3463463463463463,0.3832352116624615,0.47778547778547775,0.5512820512820513
8,5e-05,16,3,384,0.004380376578722878,0.1,0.5576923076923077,0.3712609970674487,0.5183171667042635,0.3557692307692308,0.3940285954583684,0.4900147928994083,0.5576923076923077
9,3e-05,8,5,512,0.07447621559078171,0.1,0.6025641025641025,0.40788561664812933,0.5642389591323292,0.3902790279027903,0.43089430894308944,0.5343211244201342,0.6025641025641025
10,5e-05,8,3,512,0.046955581127580796,0.1,0.5256410256410257,0.327559722442926,0.46690869382749245,0.32743014561196376,0.3585646201289599,0.45039808676172316,0.5256410256410257
11,5e-05,8,4,256,0.04757049262259338,0.0,0.5769230769230769,0.38449006190941676,0.5363811815424718,0.3685897435897436,0.40790580319596303,0.5072731755424064,0.5769230769230769
12,1e-05,16,5,512,0.08326781960578375,0.1,0.5192307692307693,0.22784810126582278,0.3592989289191821,0.17419354838709677,0.32926829268292684,0.27468982630272953,0.5192307692307693
13,3e-05,16,3,256,0.08322598013952011,0.1,0.5064102564102564,0.31383433708649733,0.4495484789278977,0.3081989552577788,0.3446874123913653,0.427793986617516,0.5064102564102564
14,5e-05,16,4,512,0.06824955039749755,0.0,0.5576923076923077,0.3441208198489752,0.49137001078748654,0.3497983870967742,0.3788898233809925,0.47948976426799017,0.5576923076923077
15,3e-05,8,5,256,0.0007362269751005513,0.2,0.5,0.32188884414015306,0.45729808854053716,0.3097327483047467,0.3456686291000841,0.4315685311895922,0.5
16,5e-05,16,4,384,0.07807290310219679,0.2,0.5705128205128205,0.3511997046880768,0.5001476559616095,0.37127976190476186,0.38701990468180547,0.5030620421245421,0.5705128205128205
17,3e-05,8,4,384,0.013979699812765745,0.0,0.5512820512820513,0.3279974357523993,0.4727410907624721,0.34829516539440203,0.36977852537146066,0.47538853004501863,0.5512820512820513
18,1e-05,8,5,384,0.05652361064811889,0.1,0.5384615384615384,0.3066322136089578,0.44934737957993776,0.31840470742072574,0.35660218671152233,0.4418990620363618,0.5384615384615384
19,1e-05,16,4,384,0.05535794006579958,0.0,0.5384615384615384,0.27155172413793105,0.40898541114058357,0.39999999999999997,0.3481917577796467,0.5282051282051282,0.5384615384615384
20,3e-05,16,3,384,0.04367173892323624,0.0,0.5384615384615384,0.3341858482523444,0.4768181520099679,0.33558341369334616,0.36669470142977295,0.46131592611824046,0.5384615384615384
