trial_id,learning_rate,batch_size,num_train_epochs,max_len,weight_decay,warmup_ratio,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,precision_weighted,recall_weighted
1,1e-05,16,4,384,0.08585979199113825,0.0,0.535031847133758,0.28521303258145364,0.42178056606484365,0.3599003735990037,0.35097147581645305,0.4840129768146521,0.535031847133758
2,3e-05,8,3,384,0.0761139701990353,0.2,0.5222929936305732,0.32537414965986394,0.4649759521643053,0.31747066492829207,0.3571034862891002,0.441093182969465,0.5222929936305732
3,3e-05,16,4,256,0.04503859378955671,0.1,0.4968152866242038,0.26981099358418587,0.40050849385753995,0.27518248175182486,0.32658123191401406,0.38722860198056624,0.4968152866242038
4,2e-05,8,5,512,0.082276161327083,0.1,0.5477707006369427,0.3808583507831627,0.5021961526918186,0.45160818713450285,0.3933012953010886,0.5052268409878199,0.5477707006369427
5,3e-05,8,4,256,0.055458478701583484,0.2,0.5477707006369427,0.3384691149570846,0.4825694412703363,0.34237536656891493,0.3733636488907262,0.4698713039580103,0.5477707006369427
6,1e-05,16,5,256,0.07580877400853739,0.1,0.5222929936305732,0.2287308228730823,0.35839351864189967,0.1740976645435244,0.3333333333333333,0.27278997119558607,0.5222929936305732
7,3e-05,8,3,512,0.08931211213221978,0.2,0.554140127388535,0.3240219225882308,0.46791388137871254,0.35432098765432096,0.3710899820862616,0.481929700401038,0.554140127388535
8,5e-05,16,3,384,0.004380376578722878,0.1,0.5414012738853503,0.2727852976780015,0.4093911719619054,0.40103016924208973,0.35186716273942403,0.5307011993644634,0.5414012738853503
9,3e-05,8,5,512,0.07447621559078171,0.1,0.6114649681528662,0.41604885803780833,0.5742674196768578,0.3970161383954487,0.4393688852142759,0.5437762203630861,0.6114649681528662
10,5e-05,8,3,512,0.046955581127580796,0.1,0.5477707006369427,0.30455818691112807,0.4467649248466034,0.3351985078603783,0.3622709108447017,0.4601058007097506,0.5477707006369427
11,5e-05,8,4,256,0.04757049262259338,0.0,0.5031847133757962,0.29958769089203874,0.43400084330574507,0.29591666666666666,0.3385696568830095,0.4133073248407644,0.5031847133757962
12,1e-05,16,5,512,0.08326781960578375,0.1,0.5159235668789809,0.23674138873701475,0.36621940220022076,0.28427128427128423,0.3308529695466446,0.3965864284335621,0.5159235668789809
13,3e-05,16,3,256,0.08322598013952011,0.1,0.49044585987261147,0.2523762700753851,0.37916564893623683,0.27154558404558404,0.319346837536172,0.3804031248298764,0.49044585987261147
14,5e-05,16,4,512,0.06824955039749755,0.0,0.5159235668789809,0.3318794607454401,0.4693045151709542,0.32083333333333336,0.35779247622984706,0.44410828025477705,0.5159235668789809
15,3e-05,8,5,256,0.0007362269751005513,0.2,0.5923566878980892,0.397456279809221,0.5514971697062367,0.3826007326007326,0.4208350558081852,0.5234233918947295,0.5923566878980892
16,5e-05,16,4,384,0.07807290310219679,0.2,0.5222929936305732,0.30432900432900434,0.443551989411862,0.3024425287356322,0.3491801019705112,0.4233746980013178,0.5222929936305732
17,3e-05,8,4,384,0.013979699812765745,0.0,0.5414012738853503,0.3388213571318664,0.48256321648700484,0.33362818811735223,0.3708832851040375,0.46107212579969975,0.5414012738853503
18,1e-05,8,5,384,0.05652361064811889,0.1,0.5222929936305732,0.2799797057331304,0.41461264772319656,0.32001332001332,0.3428413945156401,0.4386377953256934,0.5222929936305732
19,1e-05,16,4,384,0.05535794006579958,0.0,0.5222929936305732,0.24875356125356127,0.38061067559475203,0.3087719298245614,0.33650268706076886,0.4252095206168287,0.5222929936305732
20,3e-05,16,3,384,0.04367173892323624,0.0,0.4968152866242038,0.2863818424566088,0.4173335147500276,0.29424242424242425,0.3313352625051674,0.408303416328894,0.4968152866242038
