trial_id,learning_rate,batch_size,num_train_epochs,max_len,weight_decay,warmup_ratio,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,precision_weighted,recall_weighted
1,1e-05,4,4,256,0.04292989599556912,0.0,0.554140127388535,0.36653671215074723,0.5119218782980097,0.35399344923154447,0.39010610445087507,0.48590108371728025,0.554140127388535
2,2e-05,2,3,384,0.03805698509951765,0.1,0.554140127388535,0.3290424570912376,0.47269259316796985,0.36048020765736527,0.37267465894997936,0.4883957393866998,0.554140127388535
3,2e-05,4,4,256,0.022519296894778357,0.1,0.5159235668789809,0.35850883563301866,0.4928002812354005,0.34269480519480516,0.3799779523218961,0.47607949375465297,0.5159235668789809
4,1.5e-05,2,4,384,0.0411380806635415,0.1,0.535031847133758,0.3555130351590529,0.4974100305141396,0.3393863118782212,0.37791098249965555,0.46938048678819194,0.535031847133758
5,1.5e-05,2,3,256,0.027729239350791742,0.1,0.5222929936305732,0.3460992907801419,0.483696977910286,0.3324700949562215,0.3681962243351247,0.4577456989285319,0.5222929936305732
6,1e-05,4,4,256,0.037904387004268694,0.1,0.554140127388535,0.37813395276809914,0.5234103434755911,0.35892697132616486,0.39961416563318175,0.49601375761934113,0.554140127388535
7,2e-05,2,3,384,0.04465605606610989,0.1,0.5477707006369427,0.3460575719649562,0.4892421259057899,0.3504293520686963,0.37653300261816175,0.4779247900475842,0.5477707006369427
8,2e-05,4,3,256,0.002190188289361439,0.0,0.554140127388535,0.3523679001065936,0.49884628702283856,0.3465811965811966,0.38218272013228605,0.4771272252163972,0.554140127388535
9,1.5e-05,2,4,384,0.03723810779539086,0.0,0.5668789808917197,0.3840508270347245,0.5328214906928505,0.36517754868270336,0.406159570070277,0.5038238448573993,0.5668789808917197
10,2e-05,2,3,384,0.023477790563790398,0.0,0.5414012738853503,0.3392429998592936,0.480597311881441,0.34710003258390354,0.3708832851040375,0.47283498639570143,0.5414012738853503
