trial_id,learning_rate,batch_size,num_train_epochs,max_len,weight_decay,warmup_ratio,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,precision_weighted,recall_weighted
1,1e-05,4,4,256,0.04292989599556912,0.0,0.5855263157894737,0.39244292836525846,0.5402822853512685,0.3845621322256836,0.41718243442381375,0.5189238673006503,0.5855263157894737
2,2e-05,2,3,384,0.03805698509951765,0.1,0.5592105263157895,0.3293896713615024,0.46849023968371634,0.39840232389252,0.37945770704391396,0.5281905744754042,0.5592105263157895
3,2e-05,4,4,256,0.022519296894778357,0.1,0.5460526315789473,0.37674304015767435,0.5158011436573696,0.3569112879457707,0.3989095195991748,0.48872679045092843,0.5460526315789473
4,1.5e-05,2,4,384,0.0411380806635415,0.1,0.5789473684210527,0.4009406231628454,0.5483152325257589,0.3800186741363212,0.4246979074565282,0.521174259177355,0.5789473684210527
5,1.5e-05,2,3,256,0.027729239350791742,0.1,0.5789473684210527,0.3899338834503614,0.5375213442349661,0.3745551025690805,0.41438255231358684,0.5095382603275806,0.5789473684210527
6,1e-05,4,4,256,0.037904387004268694,0.1,0.5921052631578947,0.3934218848829854,0.5437431339258963,0.38552188552188554,0.41998231653404067,0.5217304625199363,0.5921052631578947
7,2e-05,2,3,384,0.04465605606610989,0.1,0.40789473684210525,0.2790652984357585,0.38933441351562925,0.28324915824915825,0.287061597406425,0.38671251993620415,0.40789473684210525
8,2e-05,4,3,256,0.002190188289361439,0.0,0.5657894736842105,0.3591239206267513,0.5014401675831369,0.38239416876927396,0.3925729442970822,0.511553273427471,0.5657894736842105
9,1.5e-05,2,4,384,0.03723810779539086,0.0,0.5592105263157895,0.37421042667079746,0.5170610343693696,0.3606763093586949,0.3986147951665193,0.490804855411761,0.5592105263157895
10,2e-05,2,3,384,0.023477790563790398,0.0,0.5263157894736842,0.34027777777777785,0.4745065789473684,0.33918128654970764,0.3684055408193339,0.4598337950138504,0.5263157894736842
